layer,accuracy,std,precision,recall,f1
-2,0.7950,0.0040,0.8221,0.8199,0.8210
-4,0.8028,0.0039,0.8285,0.8272,0.8278
-6,0.8070,0.0041,0.8313,0.8320,0.8317
-8,0.8082,0.0033,0.8322,0.8336,0.8329
-10,0.8159,0.0041,0.8405,0.8378,0.8391
-12,0.8145,0.0038,0.8386,0.8375,0.8381
-14,0.8193,0.0045,0.8445,0.8394,0.8419
-16,0.8184,0.0053,0.8426,0.8400,0.8413
-18,0.8142,0.0052,0.8401,0.8347,0.8374
-20,0.8114,0.0064,0.8380,0.8319,0.8349
-22,0.8040,0.0044,0.8316,0.8252,0.8284
-24,0.7930,0.0025,0.8205,0.8179,0.8192
-26,0.7894,0.0028,0.8158,0.8170,0.8164
-28,0.7647,0.0052,0.7868,0.8087,0.7975
-30,0.7149,0.0034,0.7340,0.7883,0.7602
-32,0.6812,0.0039,0.6957,0.7888,0.7393
-1,0.7937,0.0024,0.8183,0.8227,0.8205
-3,0.8042,0.0062,0.8301,0.8279,0.8290
-5,0.8027,0.0030,0.8276,0.8284,0.8280
-7,0.8072,0.0059,0.8310,0.8331,0.8320
-9,0.8104,0.0049,0.8345,0.8349,0.8347
-11,0.8162,0.0052,0.8413,0.8374,0.8393
-13,0.8156,0.0036,0.8391,0.8394,0.8392
-15,0.8196,0.0036,0.8430,0.8421,0.8425
-17,0.8171,0.0070,0.8426,0.8374,0.8400
-19,0.8192,0.0056,0.8440,0.8399,0.8419
-21,0.8073,0.0057,0.8351,0.8271,0.8311
-23,0.8007,0.0034,0.8269,0.8251,0.8259
-25,0.7907,0.0007,0.8188,0.8152,0.8170
-27,0.7745,0.0030,0.8015,0.8063,0.8039
-29,0.7343,0.0021,0.7537,0.7971,0.7747
-31,0.6858,0.0031,0.7028,0.7831,0.7407
