layer,accuracy,std,precision,recall,f1
-1,0.7860,0.0054,0.8128,0.8143,0.8135
-2,0.7868,0.0060,0.8136,0.8149,0.8142
-3,0.7994,0.0051,0.8248,0.8254,0.8251
-4,0.7989,0.0065,0.8245,0.8246,0.8246
-5,0.8016,0.0060,0.8289,0.8240,0.8264
-6,0.8035,0.0042,0.8286,0.8286,0.8286
-7,0.7985,0.0048,0.8247,0.8236,0.8241
-8,0.8044,0.0029,0.8318,0.8258,0.8287
-9,0.8048,0.0062,0.8302,0.8292,0.8296
-10,0.8066,0.0051,0.8330,0.8287,0.8308
-11,0.8064,0.0047,0.8340,0.8268,0.8303
-12,0.8068,0.0037,0.8324,0.8300,0.8312
-13,0.8080,0.0061,0.8342,0.8299,0.8320
-14,0.8095,0.0038,0.8348,0.8325,0.8336
-15,0.8125,0.0044,0.8380,0.8342,0.8360
-16,0.8134,0.0056,0.8412,0.8315,0.8363
-17,0.8105,0.0052,0.8386,0.8288,0.8337
-18,0.8100,0.0044,0.8370,0.8303,0.8336
-19,0.8100,0.0065,0.8360,0.8317,0.8338
-20,0.8023,0.0060,0.8270,0.8285,0.8277
-21,0.8016,0.0046,0.8271,0.8267,0.8269
-22,0.7954,0.0043,0.8218,0.8213,0.8215
-23,0.7943,0.0033,0.8199,0.8218,0.8208
-24,0.7896,0.0033,0.8183,0.8137,0.8159
-25,0.7846,0.0046,0.8130,0.8107,0.8118
-26,0.7824,0.0061,0.8076,0.8145,0.8110
-27,0.7692,0.0037,0.7942,0.8064,0.8002
-28,0.7588,0.0030,0.7804,0.8059,0.7929
-29,0.7299,0.0029,0.7519,0.7892,0.7701
-30,0.7092,0.0061,0.7261,0.7914,0.7573
-31,0.6836,0.0021,0.7001,0.7838,0.7396
-32,0.6822,0.0035,0.6953,0.7932,0.7410
